,Estimated Resident Population ;  Persons ;  48 ;,Estimated Resident Population ;  Persons ;  49 ;,Estimated Resident Population ;  Persons ;  50 ;,Estimated Resident Population ;  Persons ;  51 ;,Estimated Resident Population ;  Persons ;  52 ;,Estimated Resident Population ;  Persons ;  53 ;,Estimated Resident Population ;  Persons ;  54 ;,Estimated Resident Population ;  Persons ;  55 ;,Estimated Resident Population ;  Persons ;  56 ;,Estimated Resident Population ;  Persons ;  57 ;,Estimated Resident Population ;  Persons ;  58 ;,Estimated Resident Population ;  Persons ;  59 ;,Estimated Resident Population ;  Persons ;  60 ;,Estimated Resident Population ;  Persons ;  61 ;,Estimated Resident Population ;  Persons ;  62 ;,Estimated Resident Population ;  Persons ;  63 ;,Estimated Resident Population ;  Persons ;  64 ;,Estimated Resident Population ;  Persons ;  65 ;,Estimated Resident Population ;  Persons ;  66 ;,Estimated Resident Population ;  Persons ;  67 ;,Estimated Resident Population ;  Persons ;  68 ;,Estimated Resident Population ;  Persons ;  69 ;,Estimated Resident Population ;  Persons ;  70 ;,Estimated Resident Population ;  Persons ;  71 ;,Estimated Resident Population ;  Persons ;  72 ;,Estimated Resident Population ;  Persons ;  73 ;,Estimated Resident Population ;  Persons ;  74 ;,Estimated Resident Population ;  Persons ;  75 ;,Estimated Resident Population ;  Persons ;  76 ;,Estimated Resident Population ;  Persons ;  77 ;,Estimated Resident Population ;  Persons ;  78 ;,Estimated Resident Population ;  Persons ;  79 ;,Estimated Resident Population ;  Persons ;  80 ;,Estimated Resident Population ;  Persons ;  81 ;,Estimated Resident Population ;  Persons ;  82 ;,Estimated Resident Population ;  Persons ;  83 ;,Estimated Resident Population ;  Persons ;  84 ;,Estimated Resident Population ;  Persons ;  85 ;,Estimated Resident Population ;  Persons ;  86 ;,Estimated Resident Population ;  Persons ;  87 ;,Estimated Resident Population ;  Persons ;  88 ;,Estimated Resident Population ;  Persons ;  89 ;,Estimated Resident Population ;  Persons ;  90 ;,Estimated Resident Population ;  Persons ;  91 ;,Estimated Resident Population ;  Persons ;  92 ;,Estimated Resident Population ;  Persons ;  93 ;,Estimated Resident Population ;  Persons ;  94 ;,Estimated Resident Population ;  Persons ;  95 ;,Estimated Resident Population ;  Persons ;  96 ;,Estimated Resident Population ;  Persons ;  97 ;,Estimated Resident Population ;  Persons ;  98 ;,Estimated Resident Population ;  Persons ;  99 ;,Estimated Resident Population ;  Persons ;  100 and over ;
Jun-1972,156975,156471,155457,158380,136982,126011,125235,126743,124164,127021,125389,120414,114664,115750,102435,101210,96811,91411,89909,81308,76772,72562,67613,70190,64728,53572,50409,47147,45001,41080,36958,35099,31057,29176,24498,21503,18529,15328,12463,10353,8015,6126,4882,3819,2683,1950,1382,968,707,434,250,188,236
Jun-1973,157466,156675,155755,154596,155910,137271,124705,124614,125817,123922,125034,124542,118902,113700,113689,101331,98752,95094,89452,87827,78972,74749,70007,65188,67347,62357,50679,47682,44141,42299,37822,34187,32122,28450,26338,22023,18877,16021,13048,10597,8626,6556,4904,3896,2999,2072,1453,1000,696,538,281,162,226
Jun-1974,167061,155488,156400,155015,153763,153368,137726,123537,124065,124889,123672,123007,123656,117382,112600,111460,100157,96268,93382,87265,85533,76477,72707,67487,62591,64473,60067,47892,45050,41273,39579,34498,31488,29318,25890,23552,19826,16527,13769,10989,8929,7016,5286,3985,3108,2306,1540,1091,731,500,407,175,183
Jun-1975,159207,166921,153149,155985,153971,152474,150644,137849,121995,123149,123652,123079,120634,122562,115552,111258,108912,98660,93552,91422,84773,82947,73796,70556,64675,59729,61354,57538,44849,42268,38290,36765,31116,28877,26478,23282,20775,17573,14158,11582,9030,7363,5570,4152,3083,2363,1732,1133,786,500,370,349,122
Jun-1976,161597,159271,166590,150644,155338,152782,151090,147649,137765,120405,122065,122284,122365,118327,121491,113712,109787,106267,97292,90914,89376,82288,80305,71148,68316,61804,56873,58284,55029,42007,39563,35414,34134,28150,26463,23766,20835,18172,15596,12109,9796,7413,6006,4380,3262,2422,1825,1313,863,552,333,264,293
Jun-1977,155776,160591,157896,164017,150845,153516,151308,149665,147008,135536,119329,120147,120641,120683,117365,119198,111491,107424,104093,94909,88913,86298,79317,77143,68699,64812,58532,53840,54792,51219,39163,36461,32621,31100,25755,23647,20959,18239,15655,13167,10190,8073,6044,4856,3498,2505,1810,1347,956,618,379,213,336
Jun-1978,155019,155802,159449,156473,161563,151164,151754,149799,148261,146529,133512,118211,118329,119163,119006,116276,116829,109270,105226,102028,92572,86884,83304,76476,74002,66165,61342,55350,50887,51400,47474,36378,33595,30088,28278,23466,20987,18378,15918,13443,11101,8571,6653,4960,3881,2751,1905,1362,1007,711,434,268,297
Jun-1979,160366,153406,155760,158281,154944,158842,151301,149887,148277,146671,145788,131208,116982,116369,117520,117077,115077,114424,106951,102873,99753,89940,84666,80330,73526,70753,63477,57727,52153,47948,48166,43733,33601,30820,27523,25427,21233,18445,15973,13698,11446,9181,7052,5382,3953,3071,2171,1450,1022,752,507,310,291
Jun-1980,145967,160292,151873,155806,157167,153440,156250,151551,148129,146836,145147,145181,129020,115864,114491,115959,115377,113954,112092,104612,100471,97484,87353,82537,77230,70467,67488,60907,54268,49070,44962,44830,40166,30998,28026,25007,22664,19147,16206,13828,11795,9703,7490,5810,4355,3131,2394,1708,1099,763,540,359,363
Jun-1981,144736,146051,160163,150417,155877,156154,151998,153674,151805,146258,145276,143580,144574,126864,114810,112574,114321,113558,112809,109674,102225,97950,95136,84709,80259,73973,67383,64055,58181,50711,45825,41839,41560,36490,28380,25229,22464,19872,17137,13963,11817,9918,8064,5982,4693,3424,2407,1790,1313,795,573,398,443
Jun-1982,144141,145088,145811,159042,150850,154871,155533,151756,153956,150165,145890,144495,142852,143275,125910,113116,110999,112566,111774,110549,107733,100215,95258,92327,82481,76869,71113,64684,61063,54952,48062,43080,38997,38621,33771,25744,22718,20018,17497,14864,12020,10020,8250,6630,4853,3691,2660,1860,1452,954,446,419,557
Jun-1983,145284,144523,145222,145208,157663,150960,153558,154647,151226,154079,148342,145366,143543,142016,141706,124628,111127,109221,110695,109690,107990,105522,97938,92418,89108,79972,73451,67990,61923,57882,51505,45101,40274,36105,35600,30967,23125,20269,17634,15180,12720,10224,8342,6742,5351,3844,2876,2017,1392,1207,674,147,664
Jun-1984,158056,144471,144810,145209,144609,156230,151099,152297,153754,150563,154007,146321,144843,142686,141034,140023,123395,109158,107441,108717,107587,105302,103262,95564,89384,85729,77421,69839,64950,59041,54804,48126,42329,37586,33322,32595,28206,20754,18001,15449,13176,10800,8577,6987,5530,4279,3097,2230,1558,1098,1034,447,406
Jun-1985,159919,158865,143794,145234,145291,143947,154777,151189,151172,152738,149846,154079,144408,144295,141763,139838,138241,121995,107133,105441,106577,105193,102488,100664,92847,86156,82184,74804,66222,61788,56033,51463,44579,39479,34777,30360,29628,25461,18255,15745,13387,11247,8961,7166,5727,4383,3377,2476,1682,1194,845,956,356
Jun-1986,162583,160904,159634,142910,145623,145338,143346,153367,151303,149793,151780,149293,154093,142320,143682,140634,138704,136555,120780,105027,103454,104335,102669,99587,98060,90046,82835,78657,71956,62406,58480,52943,48131,41042,36618,31866,27368,26661,22856,15883,13565,11472,9337,7254,5854,4637,3434,2598,2009,1281,924,692,839
Jun-1987,166972,163062,160653,158772,143466,145335,144478,143147,153182,150532,149581,151139,148507,152870,141587,142308,138440,136519,134503,119181,103496,101346,101761,100146,96961,94659,86577,79354,74838,68225,59209,54916,49436,44607,37994,33427,28684,24573,23435,19863,13734,11585,9655,7704,5885,4682,3602,2657,1966,1487,926,653,1041
Jun-1988,171862,167908,163532,160501,157995,144208,145040,143721,142907,153017,149793,149392,150380,147721,151473,140730,140891,136033,134203,132222,117332,101820,99032,98944,97204,94042,90968,82700,75544,70818,64206,55773,51222,45850,40947,34673,30152,25565,21948,20217,16982,11742,9751,7952,6224,4694,3632,2715,1991,1442,1065,649,1129
Jun-1989,182830,171893,168864,163975,160230,157112,144926,144730,142911,142771,152826,148915,149097,149648,146739,150058,139783,139266,133494,131782,129921,115379,99983,96731,96033,94282,90983,87182,78744,71742,66851,60059,52256,47493,42236,37336,31554,26965,22665,19432,17203,14420,9951,8056,6480,4953,3644,2800,2036,1514,1073,774,1222
Jun-1990,186473,183060,171687,169592,164118,159746,155999,145406,144299,141792,142338,152231,147724,148477,148562,145510,148195,138379,137257,130667,128974,127074,112986,97828,94010,92792,90910,87617,83017,74542,67592,62460,55739,48648,43695,38470,33549,28301,23795,19612,16772,14146,11821,8191,6432,5007,3783,2721,2033,1412,1085,748,1316
Jun-1991,185581,186198,182928,170964,170049,164045,158948,154572,145614,143584,140454,141726,151470,146374,147671,147307,144046,146226,136763,135011,127576,125814,124052,110433,95599,91161,89510,87629,84198,78803,70382,63483,58138,51609,45214,40021,34846,30006,25406,20919,16997,14574,11551,9566,6719,5131,3880,2907,2107,1492,1012,712,1268
Jun-1992,207529,186034,185613,181460,170655,168697,163115,158248,153260,144956,143076,140282,140992,150285,145064,145730,145225,141893,143399,134105,132508,125396,123046,120670,107612,92041,87967,85975,83648,79836,74865,66514,59719,54301,48028,41298,36299,31364,26767,22420,18304,14754,12327,9677,7879,5379,4074,3087,2259,1612,874,874,1077
Jun-1993,216596,207049,186142,184713,179792,170208,167302,162116,157305,151840,144140,142421,139912,140129,148976,143506,143728,142943,139459,140543,131258,129736,123051,120115,117062,104602,88295,84646,82343,79482,75411,70802,62677,56063,50423,44462,37476,32714,27954,23651,19572,15866,12604,10341,8068,6382,4276,3237,2438,1713,1151,820,1012
Jun-1994,223937,215869,206688,186382,183887,178287,169873,165909,161194,156468,150336,143354,141728,139525,139224,147600,142012,141667,140598,137006,137410,128289,126939,120590,117200,113395,101370,84343,81138,78520,75213,70848,66670,58773,52235,46476,40880,33765,29152,24595,20585,16706,13501,10623,8507,6598,5167,3354,2551,1889,1253,904,1115
Jun-1995,261584,221476,215286,206330,186752,183120,176930,169595,164576,160354,155610,148972,142617,141099,139180,138376,146225,140403,139420,138164,134499,134236,125183,123977,117971,114003,109591,98114,80406,77563,74526,70810,66109,62361,54723,48381,42442,37166,29964,25640,21330,17634,14101,11305,8776,6839,5340,4101,2546,1928,1455,1018,1254
Jun-1996,256217,262712,219096,214834,206230,187201,182591,175625,169600,163415,159655,155042,147787,142003,140614,139001,137591,144957,138880,137283,135695,131972,131011,122081,120946,115278,110845,105789,94773,76330,73872,70550,66242,61426,58138,50724,44542,38438,33582,26293,22233,18308,14901,11703,9310,7135,5393,4289,3229,1868,1478,1224,1521
Jun-1997,251366,256274,262637,219719,214649,205754,186836,182708,175603,169524,163945,159517,155016,148215,141226,139412,137552,136384,143238,137136,135636,133741,129700,128610,120027,117295,111770,107352,102187,90799,73326,70491,66902,62281,57627,53761,46521,40498,34501,29720,23181,19283,15660,12517,9623,7473,5698,4277,3247,2381,1370,1084,1720
Jun-1998,258724,252349,256257,262429,220289,214268,205191,186321,182725,175262,169230,164031,159147,154680,148352,140062,138031,135780,134766,141220,135062,133836,131633,127186,125952,117761,113402,108065,103607,98429,86603,70216,66880,63077,58245,53776,49236,42106,36402,30624,25967,20286,16529,13152,10326,7818,5929,4454,3286,2396,1705,969,1823
Jun-1999,262794,258866,253031,255907,261929,220524,213759,204463,185612,182482,174825,168876,164149,158674,154289,148502,138943,136568,133984,133094,139194,133012,131876,129386,124546,123116,115239,109408,104241,99703,94466,82311,67075,63292,59355,54236,49986,44817,37920,32426,26957,22493,17533,14006,10994,8471,6326,4681,3474,2597,1756,1194,1893
Jun-2000,261097,262783,258807,253471,255587,261196,220683,212985,203564,184822,182076,174096,168259,164092,158049,153714,148439,137653,134836,132000,131329,136976,130695,129835,126936,121638,120108,112560,105182,100238,95643,90495,77986,63750,59543,55582,50153,46152,40352,33849,28595,23450,19250,14997,11722,9043,6825,5054,3671,2728,2049,1272,2113
Jun-2001,266591,261788,263055,258912,254071,255289,260658,220935,212314,202871,184064,181795,173608,167895,164210,157508,153247,148511,136522,133284,130056,129525,134805,128322,127782,124467,118687,117029,109966,101029,96314,91510,86459,73508,60345,55806,51701,46043,42333,36022,29892,24881,20216,16076,12651,9710,7341,5403,4001,2844,2157,1591,2281
Jun-2002,267992,267082,261426,261963,258160,252740,254007,260198,220382,211624,202192,183508,181144,172500,166910,162822,155908,151710,146481,135174,131575,128518,127445,131928,126218,124545,121011,115234,113008,105995,97088,92030,86903,81343,69410,56190,51311,47127,41642,37857,31799,25893,21351,17023,13303,10220,7721,5683,4132,3001,2005,1514,2281
Jun-2003,274631,268085,267378,260995,260720,257215,251070,252733,259731,219538,210744,201436,182638,180331,171094,165826,161188,154090,149885,144304,133622,129745,126622,125029,128707,123772,121049,117438,111572,108715,101727,92917,87537,82114,76003,65099,51917,46713,42558,37278,33326,27682,22194,17940,14036,10715,8010,5925,4263,3025,2100,1394,2304
Jun-2004,281913,274282,267741,267159,260146,259074,255896,249086,251001,258781,218352,209714,200490,181682,179299,169512,164337,159217,152029,147819,141840,131769,127576,124515,122384,125215,121040,117215,113447,107549,104081,97226,88715,82793,77071,70449,60629,47585,42109,37974,32917,29090,23751,18663,14765,11316,8485,6121,4429,3116,2123,1483,2351
Jun-2005,283429,281902,273900,267641,267128,259385,257402,254539,247140,249477,257904,217385,208743,199607,180773,178271,167892,162832,157225,149948,145610,139250,129926,125369,122364,119702,121745,118165,113292,109466,103495,99411,92613,84346,78010,71982,64937,56184,43360,37727,33622,28842,25008,20118,15530,12055,9059,6675,4579,3294,2231,1505,2402
Jun-2006,289118,284299,281711,273454,267315,266855,258500,255594,253075,244955,247603,256765,216289,207354,198505,179676,177011,166141,161033,155055,147640,143252,136551,127863,122990,119956,116772,117834,115130,109206,105283,99228,94483,87646,79648,72919,66742,59213,51505,39007,33163,29276,24928,21125,16691,12615,9566,6976,5048,3332,2314,1519,2414
Jun-2007,295875,289824,284739,281885,273575,266898,265961,257512,254618,251715,243911,246437,255684,215751,206868,197806,179060,176147,165049,159828,153576,146038,141331,134612,126020,120790,117494,114071,114863,111695,105644,101437,95092,90004,82974,74950,67859,61718,54245,46421,34635,29148,25410,21162,17595,13579,10090,7410,5315,3772,2430,1627,2579
Jun-2008,302516,296896,290504,285150,281955,273705,266501,265143,256626,253614,250391,242821,245263,254447,214748,206165,196992,178089,175016,163847,158338,151870,144125,139065,132482,123813,118392,114691,111021,111506,107974,101740,97034,90579,85091,78051,69887,62612,56318,48881,41068,30194,25133,21541,17565,14208,10766,7782,5566,3868,2690,1640,2724
Jun-2009,312461,303033,297806,291193,285474,281902,273707,265961,264183,255549,252610,248869,241616,243868,252938,213816,205282,195910,176963,173795,162425,156770,149947,142062,136631,130136,121522,115746,111828,107903,107991,104097,97607,92516,85781,79939,72768,64595,57243,50985,43594,35796,25839,21294,17885,14232,11271,8275,5844,4085,2726,1811,2754
Jun-2010,314567,313106,303265,298416,291550,285537,281815,273644,265462,263253,254534,251510,247289,240320,242501,251482,212792,204189,194774,175944,172541,160947,155105,148037,139935,134152,127665,119044,113032,108783,104550,104399,100028,93362,88040,80809,74745,67510,59344,52011,45814,38464,30825,21863,17808,14593,11298,8748,6234,4337,2881,1921,2943
Jun-2011,314500,314724,313813,303413,299149,292023,285665,281701,273478,265048,262247,253519,250362,245761,238933,241011,249933,211529,203071,193609,174732,171319,159354,153253,145970,137637,131457,125108,116400,110183,105671,100979,100566,95694,88847,83149,75776,69297,61922,53981,46622,40451,33372,25978,18124,14479,11540,8699,6622,4451,3044,1973,3052
Jun-2012,312338,315599,315310,314198,303641,298555,291728,284974,281000,272087,264205,261429,252799,249854,244983,238101,239967,248157,209592,200741,191237,172310,168863,156932,150662,143099,134920,128567,121930,112876,106504,101845,96889,95921,90871,83703,77709,70381,63697,56118,48488,41174,35156,28426,21748,14812,11682,8975,6552,4814,3167,2100,3235
Jun-2013,303819,313225,316274,315543,314137,303548,297806,291222,284122,280165,270654,263046,260321,252129,249353,244128,237104,238716,246195,207674,198299,188792,169895,166530,154636,147989,140327,132038,125469,118637,109191,102787,97774,92592,91134,85802,78143,72115,64662,57996,50388,42952,36040,30111,23951,17822,11856,9200,6853,4789,3413,2206,3404
Jun-2014,302634,303428,313536,316259,315234,313608,302997,296507,290242,282920,278843,268910,261662,258991,250988,248496,243053,235717,237178,244097,205554,195574,186109,167199,163951,151995,145032,137248,128877,122286,114877,105372,98820,93522,88143,86046,80417,72527,66440,58868,52225,44683,37566,30940,25409,19876,14556,9449,7104,5144,3404,2340,3603
Jun-2015,302199,302828,302818,313586,316073,314620,312830,302198,295157,289251,281626,277400,267085,260193,257432,249855,247600,241758,234311,235460,241710,203140,192801,183176,164236,161050,149048,141864,133771,125363,118580,110954,101118,94432,88694,83272,80621,74652,66499,60366,52951,46376,39092,32235,26058,20961,16161,11469,7147,5299,3730,2271,3678
Jun-2016,310318,302019,302855,302117,313619,315831,314054,312054,301363,293793,288287,280418,276193,265300,258632,255922,248844,246459,240521,232904,233837,239352,200795,189893,180186,161266,158056,145997,138527,130221,121687,114768,106750,96613,89781,83735,78224,74920,68766,60385,54341,46997,40693,33531,27275,21596,17010,12855,8779,5346,4023,2640,3522
Jun-2017,321187,310463,302444,302876,302847,313696,316023,314081,311783,300859,293497,287721,279826,275166,264690,257810,254956,247634,244993,239116,231479,231945,237138,198247,187287,176991,158042,154473,142298,134948,126539,117836,110514,102165,92086,84932,78736,72884,69012,62798,54374,48103,40986,34929,28193,22394,17253,13270,9765,6474,3784,2816,3827
Jun-2018,326868,321666,310332,302567,302536,303254,313294,315917,313649,311116,299978,292832,286708,278863,273794,263663,256581,253614,245993,243168,237422,229658,229831,234496,195292,184451,173597,154688,150641,138378,131026,122620,113843,106222,97277,87275,79894,73394,67114,62986,56750,48411,42084,35103,29385,23192,18021,13506,10068,7223,4658,2688,4174
Jun-2019,349394,326967,321938,309987,302640,302335,303916,313310,316297,313503,310889,299708,292804,286383,278467,272981,263322,255787,252437,244780,241578,236041,227965,227812,231945,192345,181355,170112,151183,146757,134320,127010,118480,109524,101525,92206,82266,74543,67779,61312,56933,50716,42604,36213,29574,24382,18913,14172,10339,7435,5169,3266,4379
Jun-2020,347129,350530,327816,323075,310549,303688,303196,305851,315066,318411,315248,312521,301448,295030,288134,280467,274446,265143,257064,253400,245430,241745,236116,227637,226836,230285,190179,178944,167116,148133,143304,130519,123103,114436,105146,96875,87175,77197,69115,62245,55647,51024,44730,37048,30723,24409,19838,14988,10821,7704,5333,3575,4818
Jun-2021,334920,346974,350107,327029,322451,309349,302809,301766,305186,313353,316740,313758,310584,299049,292874,285392,277561,271044,262294,254108,250535,242494,238666,233201,224723,223535,226702,186500,175211,162870,144027,138663,125724,118356,109648,100136,91554,81633,71888,63294,56622,49861,45015,38794,31619,25650,19893,15823,11582,8080,5493,3682,5299
Jun-2022,327497,334876,346772,349764,326633,321892,308720,302101,300841,304294,312244,315390,312341,308893,297172,290842,283227,275240,268893,259859,251394,247560,239298,235377,229636,221037,219567,221974,182312,170891,158158,139522,133608,120603,112977,103964,94324,85521,75465,65685,57063,50409,43671,38566,32778,25995,20578,15581,12095,8674,5735,3808,5558
Jun-2023,323680,328535,335625,347265,350077,326681,321688,308494,301775,300403,303617,311399,314309,311299,307521,295590,289117,281390,273339,266929,257692,249009,244964,236586,232368,226224,217444,215352,217138,178041,166235,153290,134483,128169,115262,107191,97946,88128,79014,69104,59399,50604,44046,37440,32460,26933,20924,16002,11867,9035,6268,3962,5867
Jun-2024,322133,324605,329065,336016,347446,349993,326692,321488,308171,301146,299839,302870,310552,313299,309999,306178,294007,287188,279882,271525,264963,255555,246576,242228,233632,229159,222613,213705,211194,212103,173611,161496,148187,129531,122707,109597,101344,91815,81822,72627,62801,53030,44522,38226,31778,27029,21867,16548,12198,8849,6793,4493,6364
Jun-2025,322475,322466,324757,329238,336038,347355,349790,326278,321063,307524,300388,299015,301820,309559,312225,308665,304669,292403,285555,278170,269363,262725,253151,243938,239463,230394,225698,218527,209246,206721,207615,168971,156538,143040,124224,117055,103790,95253,85469,75536,66336,56442,46772,38403,32240,26151,21925,17415,12783,9194,6514,5040,7347
